index,headSize,headWidth,foreheadPosition,foreheadSize,jawsPosition,jawsSize,chinPosition,chinSize,chinPronounced,lowCheek,cheekPosition,cheekSize,earsPosition,earsRotation,earsSize,eyeSize,eyePosition,eyeDepth,eyeRotation,eyeDistance,eyeSquint,noseSize,nosePosition,noseFlatten,nosePronounced,noseWidth,noseBridge,noseCurve,noseInclination,mouthSize,mouthPosition,mouthPronounced,lipsSize
2023-07-19 11:29:53:3726,0.6275644,0.1155753,0.3836456,0.3522865,0.4576932,0.9959612,0.9998561,0.4114235,0.2792342,0.4754283,0.5924481,0.7558432,0.5571274,0.002789855,0.2990379,0.8934284,0.6346552,0.03906107,0.8577789,0.6824303,0.9011316,0.4915149,0.06695127,0.6692721,0.1792028,0.6158904,0.6612011,0.7947998,0.3337625,0.9882368,0.5459514,0.4423694,0.3835217
2023-07-19 11:29:53:9556,0.5830145,0.6397719,0.8344916,0.4355267,0.043661,0.03730953,0.4691055,0.2011946,0.3211263,0.7739499,0.8149815,0.694445,0.1154401,0.8436806,0.4506919,0.7853762,0.7273283,0.8762655,0.5203919,0.8042488,0.5380157,0.08524263,0.5063108,0.2002167,0.2914973,0.9313033,0.8166405,0.2943456,0.7304013,0.3438101,0.09545529,0.09879482,0.1845976
2023-07-19 11:29:54:4106,0.9052209,0.8334081,0.415355,0.7627581,0.9434717,0.1760842,0.3639174,0.7674683,0.8236918,0.5021893,0.3087214,0.1370763,0.110525,0.5738463,0.2813186,0.03820705,0.4145162,0.8824364,0.6811429,0.4181812,0.1464057,0.2993591,0.9481653,0.7694725,0.7489692,0.5629334,0.8523725,0.07018614,0.9397179,0.2187368,0.8051631,0.3459827,0.6856823
2023-07-19 11:29:54:9186,0.07350242,0.0632621,0.02175856,0.7245517,0.4393826,0.3884842,0.2053084,0.7505996,0.863255,0.5072748,0.05011046,0.2477221,0.5332142,0.2390447,0.9188433,0.68295,0.1648147,0.9410151,0.4244525,0.8168433,0.889817,0.07512867,0.3319433,0.3666624,0.8745978,0.6103458,0.7761005,0.8604666,0.672858,0.8632776,0.4568042,0.9498149,0.2246891
2023-07-19 11:29:55:4046,0.7411367,0.5231485,0.3380832,0.3720226,0.5108986,0.9048585,0.02302909,0.5528126,0.2326138,0.2488759,0.08093286,0.771943,0.2217485,0.9502341,0.2470038,0.9371166,0.3716542,0.06199002,0.1252177,0.3435254,0.6615304,0.9054316,0.7019829,0.4747674,0.4058903,0.4545131,0.4254823,0.01373541,0.9652272,0.7467587,0.6161928,0.6737527,0.9547949
2023-07-19 11:29:55:9066,0.1336092,0.4825742,0.1726211,0.05375636,0.1827511,0.8422365,0.2503546,0.8441231,0.5458923,0.5251792,0.7594596,0.1556489,0.03880596,0.0849309,0.124956,0.7187705,0.6447955,0.7701491,0.448732,0.9798832,0.4193487,0.8403031,0.3799089,0.9078847,0.863214,0.6838554,0.877528,0.5210335,0.4733687,0.4101718,0.8013779,0.782485,0.2844815
2023-07-19 11:29:56:4086,0.06567597,0.5186432,0.1812546,0.3819904,0.9396082,0.7251693,0.716377,0.02857053,0.676585,0.5688823,0.7801661,0.5014481,0.0704416,0.3086031,0.8832172,0.7700882,0.8042111,0.9113435,0.4547539,0.3135764,0.2787357,0.3429698,0.6310378,0.9489207,0.245518,0.312232,0.5821564,0.5617698,0.8589309,0.5911141,0.7583404,0.06959844,0.09683025
2023-07-19 11:29:56:9086,0.9093316,0.781916,0.6659006,0.6443477,0.6141228,0.1582062,0.277774,0.03286362,0.03285301,0.5323403,0.9863237,0.4002693,0.8674713,0.2360018,0.119911,0.5905555,0.7878716,0.9620115,0.09604251,0.9823242,0.3603112,0.8149639,0.1463635,0.3195152,0.4942291,0.06678891,0.7000231,0.1220021,0.05276752,0.3741216,0.5832812,0.2960055,0.610173
2023-07-19 11:29:57:4106,0.3898798,0.6347376,0.3516795,0.2515581,0.9214743,0.7174183,0.858303,0.5954544,0.5065131,0.2541061,0.05605471,0.6184631,0.1743245,0.3377413,0.8911897,0.3847976,0.2360374,0.1612154,0.955479,0.1513375,0.3641536,0.1446905,0.5297511,0.8969553,0.2238604,0.7405773,0.712772,0.3836053,0.270714,0.9612758,0.003627419,0.09631264,0.530449
2023-07-19 11:29:57:9132,0.6080371,0.2370629,0.170302,0.7293725,0.4817643,0.4029502,0.3712329,0.6124662,0.9309871,0.3507472,0.7155011,0.1273453,0.0146513,0.2326777,0.4373439,0.8555839,0.9937754,0.5719649,0.602713,0.2927479,0.8060813,0.7055163,0.4618599,0.003932238,0.7341695,0.09653306,0.4088225,0.5317097,0.2024761,0.8944722,0.815729,0.3502898,0.477414
2023-07-19 11:29:58:4111,0.5419684,0.7958015,0.8286711,0.3343098,0.7966305,0.3723423,0.1285875,0.110178,0.4983365,0.3111196,0.6242366,0.6696502,0.01946175,0.2555266,0.7407839,0.2641986,0.5078198,0.5305137,0.8977313,0.5939447,0.1306221,0.8461914,0.3661554,0.5445752,0.9459418,0.7594031,0.6816452,0.1329545,0.7671367,0.5604813,0.3717818,0.3832019,0.5196756
2023-07-19 11:29:58:9131,0.1174312,0.345944,0.4873458,0.2783687,0.9176404,0.8642225,0.4225259,0.7002022,0.1712157,0.5843927,0.448902,0.4045772,0.6702645,0.8338968,0.1541845,0.02280354,0.9176493,0.8146348,0.2738548,0.2770937,0.8042612,0.5857757,0.1237351,0.5098518,0.6639081,0.2775771,0.6413276,0.8173457,0.5661078,0.2993847,0.9578884,0.8379455,0.4458751
2023-07-19 11:29:59:4178,0.2856047,0.5330967,0.7051715,0.3910894,0.81094,0.4754865,0.1027222,0.420882,0.8476814,0.6210291,0.9138539,0.06515801,0.5289533,0.3084858,0.03433764,0.9793926,0.3474566,0.4797379,0.530132,0.06952882,0.02208138,0.6181729,0.5044854,0.8028815,0.6914227,0.8291092,0.3254392,0.6502537,0.8098277,0.1133177,0.1465576,0.94914,0.9147612
2023-07-19 11:29:59:9138,0.218727,0.4672638,0.001067877,0.4746158,0.4429948,0.3459223,0.5665722,0.7170758,0.3164423,0.2827918,0.08857381,0.7587442,0.5725808,0.09686112,0.9221299,0.09155667,0.4057453,0.8687669,0.4160771,0.1616234,0.6729393,0.4093191,0.4925854,0.7627624,0.9190193,0.3774062,0.5573394,0.3167279,0.2906407,0.8943791,0.09348309,0.2486256,0.5773686
2023-07-19 11:30:00:4148,0.376116,0.6607788,0.269674,0.2475655,0.5704655,0.8773066,0.3294769,0.7638289,0.270651,0.3196446,0.565525,0.2716904,0.4873369,0.3204386,0.4554872,0.2033006,0.802215,0.8808514,0.8016691,0.279131,0.8497763,0.1370924,0.1968585,0.3821554,0.1000628,0.2330122,0.4035797,0.7695613,0.3817123,0.9278957,0.1789472,0.6897842,0.3001649
2023-07-19 11:30:00:9154,0.5000837,0.7623067,0.6794671,0.3587291,0.1664289,0.2514942,0.08534563,0.7370046,0.2552634,0.7938612,0.04534638,0.8613094,0.7000538,0.8351947,0.3992479,0.6148952,0.8497901,0.4861124,0.2556356,0.4211254,0.4390898,0.2310007,0.3243228,0.2502416,0.2499567,0.746353,0.5850365,0.4469483,0.8015931,0.218102,0.3677353,0.2921255,0.5083817
2023-07-19 11:30:01:4187,0.7985631,0.4619505,0.5027243,0.2966686,0.2931567,0.9497914,0.8274956,0.6059418,0.6154042,0.4427118,0.08604944,0.6344169,0.668672,0.9332222,0.3803458,0.366859,0.8425794,0.8886958,0.2847649,0.3002843,0.03585315,0.6640351,0.9981483,0.3068727,0.045766,0.2327366,0.03027594,0.2851333,0.5366428,0.5597538,0.02268612,0.1972406,0.2569805
2023-07-19 11:30:01:9197,0.02288866,0.4558662,0.639522,0.9045312,0.1559465,0.8145791,0.7094169,0.2589805,0.2855242,0.1956302,0.872141,0.5908567,0.3989598,0.7267599,0.8462784,0.9197879,0.8505944,0.9120471,0.4872474,0.3984784,0.1347313,0.8957717,0.2761123,0.5923777,0.2579871,0.9857634,0.1937957,0.3013672,0.2293106,0.3638929,0.3540815,0.7888757,0.4220968
