index,headSize,headWidth,foreheadPosition,foreheadSize,jawsPosition,jawsSize,chinPosition,chinSize,chinPronounced,lowCheek,cheekPosition,cheekSize,earsPosition,earsRotation,earsSize,eyeSize,eyePosition,eyeDepth,eyeRotation,eyeDistance,eyeSquint,noseSize,nosePosition,noseFlatten,nosePronounced,noseWidth,noseBridge,noseCurve,noseInclination,mouthSize,mouthPosition,mouthPronounced,lipsSize
2023-07-17 15:57:47:0861,0.8611479,0.7654873,0.8094004,0.3738729,0.8041714,0.9050306,0.05142486,0.09164071,0.6362092,0.2561248,0.3110251,0.5129681,0.5162036,0.5013524,0.8476205,0.1660577,0.07961023,0.1580068,0.2990095,0.2975953,0.05391812,0.4769475,0.8498442,0.3910797,0.8599887,0.8059207,0.3768784,0.5101781,0.4321933,0.3951527,0.8868376,0.9755408,0.9048656
2023-07-17 15:57:47:6441,0.5322908,0.08517861,0.8168105,0.4074846,0.5163857,0.04583824,0.07565153,0.3499767,0.818324,0.1734101,0.1051193,0.7323807,0.4823993,0.4413955,0.3736864,0.2772177,0.4887276,0.1101859,0.8827654,0.4535685,0.9046601,0.7078848,0.338154,0.9318931,0.0438596,0.8101276,0.1453218,0.6160575,0.02516961,0.2607448,0.2026967,0.8670485,0.09039891
2023-07-17 15:57:48:1161,0.1373769,0.91133,0.1432841,0.439931,0.4177614,0.544443,0.881188,0.05485082,0.1265793,0.1028532,0.5347657,0.0787071,0.4197453,0.8209838,0.1416526,0.427685,0.318872,0.8983161,0.1112882,0.4598771,0.8465954,0.5906667,0.005870581,0.4286028,0.1985326,0.2875811,0.8545238,0.2919133,0.455792,0.780301,0.05210924,0.1594129,0.9615902
2023-07-17 15:57:48:6221,0.8702664,0.02753758,0.03002477,0.0266639,0.1468755,0.6924144,0.5941917,0.6748638,0.2723207,0.7060716,0.5119074,0.4632978,0.5339398,0.8872559,0.1334562,0.2901,0.4646129,0.1895522,0.8377579,0.6193116,0.6265025,0.8836521,0.4229153,0.07660198,0.1288867,0.6582128,0.655288,0.3132308,0.6050686,0.7257478,0.6798345,0.5509673,0.4894083
2023-07-17 15:57:49:1181,0.3849754,0.5784981,0.6366122,0.05418611,0.2286115,0.7713182,0.534903,0.8124049,0.9618585,0.9877008,0.1404512,0.5203989,0.7844366,0.5766897,0.6563241,0.7797664,0.5723395,0.6520723,0.8770581,0.2817731,0.838292,0.1259538,0.1775864,0.4430646,0.6745621,0.2048882,0.3392705,0.3510433,0.3503106,0.3400839,0.6137293,0.02591348,0.2013084
2023-07-17 15:57:49:6196,0.4408759,0.3568283,0.7304816,0.04722369,0.01840246,0.3934694,0.74096,0.2569509,0.405425,0.6935272,0.7403263,0.6617291,0.2963943,0.7048892,0.5520691,0.3990534,0.5406142,0.8906175,0.9437953,0.7831835,0.7077937,0.4913302,0.06986785,0.5278642,0.1506282,0.435769,0.4792435,0.8903348,0.1315634,0.8803577,0.5245438,0.6560589,0.8446394
2023-07-17 15:57:50:1196,0.201638,0.3524216,0.3952371,0.7393696,0.02486372,0.02175152,0.4473773,0.5230172,0.7403727,0.3970655,0.6436216,0.2547976,0.8750455,0.4426152,0.6920624,0.03900754,0.5349503,0.7236364,0.1347355,0.3494439,0.6665794,0.2839051,0.3949479,0.1395406,0.4104186,0.862295,0.4892891,0.01667082,0.9142479,0.8844885,0.6884733,0.9773207,0.4008955
2023-07-17 15:57:50:6246,0.03465116,0.5777726,0.8854178,0.05560052,0.1882105,0.06687772,0.7803038,0.7683787,0.3878612,0.6041692,0.6031526,0.9852521,0.08453643,0.8331832,0.7985929,0.04538441,0.3684219,0.7278953,0.5776393,0.7661816,0.4872319,0.3414065,0.7592062,0.1964053,0.1467956,0.5309744,0.9652921,0.0257926,0.4476541,0.7344271,0.4071262,0.03010821,0.3364305
2023-07-17 15:57:51:1216,0.2267009,0.501341,0.6419108,0.631246,0.6694168,0.1685387,0.7629943,0.2696655,0.8559409,0.6475627,0.1620162,0.1530024,0.2055901,0.07654727,0.9572589,0.95316,0.0656302,0.583244,0.4395153,0.5280024,0.08018279,0.4334024,0.8886958,0.3009273,0.4118413,0.8624866,0.7697592,0.2129451,0.9787109,0.2637526,0.9467696,0.7082528,0.9459727
2023-07-17 15:57:51:6196,0.1172498,0.8562093,0.3893496,0.3217155,0.5702432,0.920188,0.1073748,0.8323669,0.2349169,0.03346455,0.8377731,0.7455238,0.401468,0.9327199,0.1522738,0.7751484,0.1489241,0.02709019,0.6156605,0.2009877,0.701763,0.4188953,0.193505,0.1021924,0.2728023,0.451185,0.4810711,0.5200687,0.9799042,0.05454934,0.9974463,0.5589719,0.2235891
